contracts,z_thresh,atr_stop_ratio,trail_activate,trail_distance,breakeven_ticks,vwap_slope_thresh,pass_rate,blow_rate,avg_days_to_pass,sortino,expectancy,profit_factor,win_rate,avg_win,avg_loss,risk_reward,n_trades,total_pnl,loo_std,score,val_pass_rate,val_blow_rate,val_avg_days,val_n_trades,wf_score
1,1.2,0.8,12,8,10,0.3,0.66,0.286,20.9,0.114,15.48,1.241,0.4857,163.85,124.65,1.314,210,2662.2,0.0979,64.2035,,,,,
1,1.2,0.5,8,4,6,0.3,0.658,0.249,22.7,0.131,14.34,1.267,0.472,143.99,101.55,1.418,214,2469.1,0.1085,63.9095,,,,,
1,1.2,0.8,16,4,10,1.0,0.653,0.328,18.4,0.126,16.16,1.24,0.4009,208.6,112.59,1.853,232,3100.4,0.0814,63.7283,,,,,
1,1.2,0.65,16,6,10,0.3,0.653,0.273,21.3,0.129,15.37,1.24,0.3876,204.94,104.59,1.959,209,2627.3,0.1006,63.51,,,,,
1,1.2,0.8,12,6,6,0.3,0.653,0.273,22.4,0.123,14.04,1.263,0.4155,162.36,91.41,1.776,219,2461.8,0.1051,63.4206,,,,,
2,1.2,0.8,16,4,10,0.15,0.643,0.357,11.0,0.174,42.73,1.34,0.4082,412.2,212.07,1.944,147,5464.2,0.058,63.1398,,,,,
2,1.2,0.8,12,4,10,0.15,0.642,0.353,14.7,0.119,30.79,1.248,0.4808,322.38,239.2,1.348,156,3941.4,0.0643,62.9298,,,,,
2,1.2,0.8,8,4,6,0.15,0.64,0.349,15.4,0.119,29.11,1.287,0.5217,250.44,212.34,1.179,161,3791.0,0.0766,62.5013,,,,,
1,1.2,0.8,16,10,10,0.3,0.641,0.303,19.9,0.125,15.85,1.242,0.4067,199.71,110.18,1.813,209,2727.3,0.0946,62.3769,,,,,
2,1.2,0.8,12,4,8,0.3,0.637,0.363,8.0,0.177,44.44,1.373,0.4536,360.69,218.1,1.654,194,7546.2,0.0675,62.35,,,,,
1,1.2,0.5,16,4,8,0.3,0.641,0.266,22.0,0.145,14.4,1.254,0.3381,210.56,85.79,2.454,210,2437.0,0.1047,62.2857,,,,,
2,1.2,0.5,12,4,8,0.3,0.636,0.364,10.1,0.162,33.54,1.299,0.3897,373.89,183.82,2.034,195,5454.0,0.0724,62.1517,,,,,
1,1.2,0.8,16,8,10,0.5,0.639,0.32,19.3,0.118,15.07,1.225,0.4018,204.03,111.85,1.824,224,2748.0,0.0937,62.1486,,,,,
1,1.2,0.8,16,6,6,0.3,0.638,0.295,20.7,0.134,14.56,1.271,0.3624,188.29,84.17,2.237,218,2564.6,0.1061,61.8799,,,,,
1,1.2,0.8,20,4,6,0.3,0.632,0.362,14.6,0.203,20.94,1.378,0.2791,273.36,76.77,3.561,215,3899.7,0.0699,61.8192,,,,,
2,1.5,0.65,16,4,10,1.0,0.634,0.356,15.2,0.164,38.28,1.298,0.3644,457.96,202.33,2.263,118,3856.4,0.0848,61.7345,,,,,
1,1.2,0.65,12,6,10,0.3,0.632,0.286,22.0,0.113,14.1,1.224,0.4502,171.05,114.44,1.495,211,2384.2,0.0937,61.5723,,,,,
1,1.2,0.65,20,4,10,0.3,0.632,0.356,15.0,0.181,20.28,1.311,0.3107,275.03,94.54,2.909,206,3599.9,0.0842,61.5526,,,,,
1,1.2,0.8,20,4,10,0.5,0.626,0.365,15.9,0.152,18.37,1.268,0.317,274.5,100.49,2.732,224,3487.0,0.0753,61.1202,,,,,
1,1.2,0.8,12,10,8,0.3,0.626,0.35,16.6,0.145,18.15,1.307,0.4507,171.26,107.48,1.593,213,3269.1,0.0783,61.1066,,,,,
2,1.2,0.8,12,8,10,0.3,0.62,0.38,7.5,0.181,48.79,1.393,0.5,345.91,248.32,1.393,180,7786.2,0.0594,60.8126,,,,,
1,1.2,0.8,20,8,10,0.3,0.622,0.372,15.6,0.172,20.35,1.307,0.322,269.07,97.75,2.753,205,3597.1,0.0717,60.7836,,,,,
2,1.2,0.8,16,8,10,0.3,0.621,0.379,6.9,0.207,52.17,1.412,0.4246,421.23,220.14,1.913,179,8347.8,0.0692,60.7156,,,,,
2,1.2,0.8,12,6,10,0.3,0.619,0.381,8.5,0.144,38.97,1.306,0.4899,339.08,249.25,1.36,198,6618.2,0.0594,60.7127,,,,,
2,1.2,0.8,12,6,8,0.3,0.617,0.383,7.8,0.166,41.72,1.354,0.4596,347.3,218.17,1.592,198,7163.0,0.0576,60.5471,,,,,
2,1.2,0.8,12,4,10,0.5,0.617,0.383,9.2,0.123,33.64,1.256,0.4815,342.41,253.07,1.353,216,6068.2,0.0592,60.5157,,,,,
1,1.2,0.8,8,4,4,1.0,0.624,0.344,18.5,0.11,13.71,1.256,0.4858,138.43,104.13,1.329,247,2695.0,0.1021,60.4539,,,,,
1,1.2,0.65,20,4,10,0.5,0.619,0.369,16.2,0.155,17.78,1.264,0.3094,275.21,97.56,2.821,223,3339.8,0.0847,60.2425,,,,,
2,1.2,0.8,16,4,8,0.15,0.614,0.386,11.0,0.169,37.98,1.33,0.3727,410.67,183.42,2.239,161,5224.6,0.0596,60.2073,,,,,
2,1.2,0.8,20,4,10,0.15,0.612,0.388,9.6,0.205,46.42,1.376,0.3427,495.94,187.91,2.639,143,5848.2,0.0524,60.1529,,,,,
2,1.2,0.8,16,4,8,0.3,0.613,0.387,7.3,0.182,43.15,1.357,0.3858,425.25,196.85,2.16,197,7407.8,0.0577,60.145,,,,,
1,1.2,0.8,16,8,8,0.3,0.615,0.364,17.5,0.143,16.9,1.279,0.3803,203.71,97.73,2.084,213,3003.8,0.0809,59.9445,,,,,
2,1.2,0.8,16,4,6,0.3,0.611,0.389,8.3,0.178,38.98,1.356,0.3568,415.95,170.12,2.445,199,6648.4,0.0635,59.8291,,,,,
2,1.2,0.65,8,4,6,0.3,0.612,0.388,8.9,0.158,39.0,1.361,0.5155,285.15,222.87,1.279,194,6479.0,0.0836,59.5287,,,,,
1,1.2,0.65,16,8,10,0.3,0.614,0.328,19.8,0.128,15.16,1.234,0.3816,209.18,104.59,2.0,207,2558.1,0.1023,59.5278,,,,,
1,1.2,0.8,12,8,8,0.3,0.613,0.36,19.4,0.119,14.95,1.249,0.4486,167.32,109.0,1.535,214,2601.0,0.0948,59.4849,,,,,
1,1.2,0.65,16,4,10,0.5,0.614,0.324,21.8,0.111,13.38,1.202,0.3761,212.06,106.38,1.993,226,2392.2,0.1058,59.471,,,,,
2,1.2,0.5,8,4,4,0.3,0.607,0.393,10.7,0.148,30.37,1.303,0.4335,301.3,176.96,1.703,203,5027.8,0.0629,59.4421,,,,,
2,1.5,0.65,16,4,10,0.5,0.612,0.375,15.2,0.162,37.76,1.293,0.3628,459.57,202.43,2.27,113,3634.4,0.0943,59.3525,,,,,
